weight;word;color;url
1255141;fortnite;#8D0BC6; 
845034;gta;#C24A05; 
800502;minecraft;#02597B; 
486893;fifa;#CE49DB; 
396894;nba;#D75850; 
373322;roblox;#A3D709; 
348560;pokemon;#61079C; 
348538;black;#73C3C7; 
393094;war;#495172; 
303561;league;#FF4943; 
297923;halo;#D9FB34; 
350083;op;#99ED1F; 
250405;pubg;#253976; 
275509;black_op;#28F85B; 
300856;mobile;#CEC89D; 
295615;legend;#9971A9; 
241527;clash;#3E6595; 
230074;duty;#223620; 
221559;rainbow;#541B56; 
445338;mod;#5976AB; 
201909;mario;#EB385D; 
1965976;game;#4C572D; 
194954;siege;#2B0C9B; 
220603;star;#9EB101; 
172221;overwatch;#3F5441; 
178435;zombie;#2CC9C2; 
172015;car;#B4FE2D; 
166270;cod;#B75451; 
375236;glitch;#A6190B; 
163638;rust;#1A0848; 
1255140;fortnite;#A490BB; 
190574;ark;#489F6D; 
180775;destiny;#E334E5; 
158868;smash;#3ED066; 
153965;battle_royale;#AAC5DB; 
95266;runescape;#2D998C; 
80736;fantasy;#329881; 
77621;growtopia;#87D9E3; 
75877;wow;#3299CB; 
70418;skyrim;#D2C41C; 
65045;warcraft;#29442F; 
66192;mtg;#459C03; 
64357;super_smash;#66D0CC; 
60006;osrs;#F0728A; 
53383;slot;#AC71C1; 
49272;final_fantasy;#E0A2E4; 
49149;apex_legend;#F82B78; 
46284;scroll;#90508E; 
45391;world_warcraft;#9DC700; 
43811;platform;#3B4887; 
37334;ark_survival;#D92249; 
37330;eso;#0E1205; 
38102;thief;#65835E; 
39759;legion;#36F362; 
36217;indie;#B7D5B5; 
35168;sims;#97BABB; 
35448;paladin;#02DDD6; 
32489;creed;#56EB62; 
31944;controller;#C30EF8; 
30993;free_fire;#7F9548; 
96825;genre;#263CA0; 
67953;apex;#45122E; 
162654;sim;#2BC750; 
65623;evolve;#45B21E; 
95045;industry;#7BFBFC; 
73723;hunter;#0C82CA; 
47757;dance;#FE06AB; 
1378356;game;#CBD51E; 
579705;video;#3C1FE4; 
50982;medium;#DA82BF; 
281664;battle;#31BA1F; 
157007;twitch;#BC860A; 
241393;let_play;#90AE19; 
264025;let;#DEAF1E; 
408128;play;#81D3B9; 
136095;skin;#779E66; 
97577;final;#DCDB4D; 
78798;fire;#F5ACB2; 
279539;gaming;#9208F4; 
114214;playthrough;#091EF3; 
166383;season;#69455A; 
174349;xbox;#68A391; 
416792;gameplay;#60D253; 
178496;royale;#7F79BB; 
169866;pc;#E73B6C; 
186470;world;#D27166; 
129881;walkthrough;#F19470; 
171310;guide;#0660F9; 
244102;new;#63F505; 
155139;free;#D033EB; 
234730;funny;#4EBAF3; 
241416;good;#500CC1; 
137775;review;#432ABC; 
149788;moment;#82F03B; 
116005;live;#0DCF1B; 
845033;gta;#E0DE78; 
348537;black;#BC86FD; 
275508;black_op;#11C11D; 
230074;duty;#3FD6BA; 
178434;zombie;#A0DFF3; 
172015;car;#ACAD2E; 
166270;cod;#E66E82; 
163637;rust;#393F26; 
144827;sonic;#A58D0E; 
142503;fallout;#4FE4F4; 
127879;csgo;#CB8504; 
126439;auto;#7241C7; 
119828;warfare;#BE0276; 
113698;wwe;#68FA9D; 
113293;theft;#5D0A9C; 
107239;madden;#55973B; 
95841;grand_theft;#15D879; 
100503;crossfire;#94132F; 
93181;crash;#1A116D; 
87081;battlefield;#ABD461; 
78012;playstation_sony;#5786F2; 
70678;fnaf;#9B4539; 
68225;beamng;#1C5AE6; 
68194;cs;#058422; 
68469;racing;#5A6E17; 
68318;strike;#9CABF1; 
63707;interactive_entertainment;#C2FC3A; 
53606;resident;#44C26D; 
53480;dark_soul;#7809CB; 
48652;resident_evil;#5AD053; 
343858;op;#AED301; 
67993;dota;#639B07; 
76934;evil;#8CD1D7; 
131500;grand;#F8AF4A; 
274172;glitch;#8B37A4; 
302365;mod;#9D7AD3; 
252620;online;#3396FB; 
109843;money;#B4CBC2; 
87126;race;#0E6911; 
239857;funny;#D47C34; 
301438;gameplay;#AA55FD; 
172368;moment;#0E844E; 
159916;good;#68484E; 
205137;game;#B606F8; 
134164;new;#BEFA60; 
102319;playstation;#A0DFC0; 
800501;minecraft;#B5FA77; 
373321;roblox;#B0DEE6; 
348559;pokemon;#34FB1B; 
241527;clash;#5E6757; 
221558;rainbow;#417918; 
201909;mario;#CE1745; 
194954;siege;#A85A1A; 
148406;rainbow_siege;#4432A0; 
118298;clash_royale;#741218; 
85743;friendly;#DF0170; 
75685;pixel;#E8FBFC; 
73236;super_mario;#CCE1D2; 
72188;dragon_ball;#52C07B; 
72822;vr;#8ACF6F; 
70823;moon;#7BCCBF; 
67438;zelda;#0484C9; 
59879;warframe;#3624B3; 
59516;clash_clan;#D466B5; 
53932;hypixel;#B73B04; 
53498;mcpe;#85CBA9; 
49969;sun;#320274; 
44346;shiny;#E340B7; 
44428;family_friendly;#D4E5B5; 
38722;coc;#0834B7; 
38060;maker;#3AC59B; 
35532;xenoverse;#F4D24F; 
38808;pool;#7C64BA; 
33738;yugioh;#757B0F; 
32747;wildland;#DD53AF; 
31942;uhc;#65940C; 
78639;family;#4CA7BF; 
71672;nintendo_switch;#EC5087; 
39976;faction;#2ADB10; 
134854;ball;#FDDD42; 
121139;switch;#8807EE; 
161042;dragon;#BBFC8E; 
116358;kid;#CC9524; 
177493;nintendo;#D7AFEF; 
176144;super;#5864A3; 
138961;base;#5171B5; 
87177;clan;#9940A5; 
136978;royale;#64FCD0; 
68696;roleplay;#8F36CC; 
95706;hack;#9DA32C; 
173231;new;#976D08; 
136495;let;#9C1058; 
265744;game;#C1E9D1; 
162841;play;#8EE778; 
163633;gameplay;#E7E3E7; 
108788;update;#012B73; 
108214;let_play;#4F40FE; 
127656;funny;#5C50D4; 
107270;mod;#97FA00; 
114323;good;#7000BB; 
101842;video;#402E68; 
486892;fifa;#354666; 
396893;nba;#2479DE; 
303560;league;#C4B59F; 
297922;halo;#660860; 
250405;pubg;#8AC7B2; 
172220;overwatch;#0BB9E3; 
109811;league_legend;#F535FB; 
102422;battlefront;#3CEB4C; 
90579;pubg_mobile;#EC1B85; 
86106;division;#DF7316; 
78764;star_war;#151F9E; 
74456;rocket_league;#DFF84C; 
78632;horizon;#A051B4; 
57489;career_mode;#8708B5; 
54370;halo 5;#22B1D2; 
53457;football;#F875A1; 
55138;forza_horizon;#D924A4; 
48410;fut;#79C684; 
48770;honor;#D1163E; 
47970;thunder;#88325D; 
41804;mortal;#DD8E90; 
42475;warhammer;#36F287; 
40993;war_thunder;#34A42F; 
41055;soccer;#283E20; 
40261;red_dead;#7D8075; 
40129;heimerdinger;#558F5F; 
38043;jumpshot;#4B4B0E; 
38086;kombat;#385405; 
39046;dash;#0F7882; 
37654;ultimate_team;#76502A; 
59559;champion;#9D1214; 
129761;dead;#AC648B; 
360016;war;#60323A; 
98955;career;#8C2A9D; 
97004;rocket;#A47541; 
264961;legend;#2F5CF3; 
266252;mobile;#0C4F01; 
194124;star;#EAF518; 
90633;lol;#C2A8B8; 
142169;team;#5421F9; 
107866;pack;#227E30; 
250224;good;#EB6B46; 
327475;gameplay;#C5C308; 
114584;pro;#D4CF59; 
112102;build;#DDDE4E; 
80759;hero;#B4C1CF; 
68019;squad;#ED222B; 
136667;new;#3A35C3; 
100909;vs;#9B8468; 
103368;guide;#FFA4E3; 
118914;funny;#7346C8; 
91093;montage;#EF1996; 
100777;moment;#A6FC04; 
116737;game;#A27B54; 
